"Measure","Time","Time_type","Geography","Geography_type","Geography_code","Age_Group","Ethnicity","Ethnicity_type","Sex","Value1","Value1_type","Value2","Value2_type","Numerator","Denominator"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","White","ONS 2021 5+1","All","81.71399342","% of Total Age Group Population","100","% of Total Ethnic Group Population","48699105","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","White","ONS 2021 5+1","Female","81.69571167","% of Total Age Group Population","100","% of Total Ethnic Group Population","24851860","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","White","ONS 2021 5+1","Male","81.73305403","% of Total Age Group Population","100","% of Total Ethnic Group Population","23847245","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","White British","ONS 2021 19+1","All","74.4249293","% of Total Age Group Population","100","% of Total Ethnic Group Population","44355040","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","White British","ONS 2021 19+1","Female","74.14670531","% of Total Age Group Population","100","% of Total Ethnic Group Population","22555450","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","White British","ONS 2021 19+1","Male","74.71500659","% of Total Age Group Population","100","% of Total Ethnic Group Population","21799590","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","White Irish","ONS 2021 19+1","All","0.851477138","% of Total Age Group Population","100","% of Total Ethnic Group Population","507455","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","White Irish","ONS 2021 19+1","Female","0.866632939","% of Total Age Group Population","100","% of Total Ethnic Group Population","263630","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","White Irish","ONS 2021 19+1","Male","0.835675647","% of Total Age Group Population","100","% of Total Ethnic Group Population","243825","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Gypsy or Irish Traveller","ONS 2021 19+1","All","0.113613063","% of Total Age Group Population","100","% of Total Ethnic Group Population","67710","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Gypsy or Irish Traveller","ONS 2021 19+1","Female","0.111489042","% of Total Age Group Population","100","% of Total Ethnic Group Population","33915","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Gypsy or Irish Traveller","ONS 2021 19+1","Male","0.115827575","% of Total Age Group Population","100","% of Total Ethnic Group Population","33795","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Roma","ONS 2021 19+1","All","0.169295378","% of Total Age Group Population","100","% of Total Ethnic Group Population","100895","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Roma","ONS 2021 19+1","Female","0.148011031","% of Total Age Group Population","100","% of Total Ethnic Group Population","45025","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Roma","ONS 2021 19+1","Male","0.19148651","% of Total Age Group Population","100","% of Total Ethnic Group Population","55870","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Any Other White Background","ONS 2021 19+1","All","6.154678539","% of Total Age Group Population","100","% of Total Ethnic Group Population","3668005","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Any Other White Background","ONS 2021 19+1","Female","6.42287335","% of Total Age Group Population","100","% of Total Ethnic Group Population","1953840","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Any Other White Background","ONS 2021 19+1","Male","5.875057708","% of Total Age Group Population","100","% of Total Ethnic Group Population","1714165","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Other","ONS 2021 5+1","All","2.106724464","% of Total Age Group Population","100","% of Total Ethnic Group Population","1255545","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Other","ONS 2021 5+1","Female","2.029978274","% of Total Age Group Population","100","% of Total Ethnic Group Population","617520","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Other","ONS 2021 5+1","Male","2.186740305","% of Total Age Group Population","100","% of Total Ethnic Group Population","638025","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Arab","ONS 2021 19+1","All","0.556730857","% of Total Age Group Population","100","% of Total Ethnic Group Population","331795","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Arab","ONS 2021 19+1","Female","0.512294038","% of Total Age Group Population","100","% of Total Ethnic Group Population","155840","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Arab","ONS 2021 19+1","Male","0.603060837","% of Total Age Group Population","100","% of Total Ethnic Group Population","175955","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Any Other Ethnic Background","ONS 2021 19+1","All","1.549993607","% of Total Age Group Population","100","% of Total Ethnic Group Population","923750","59597020"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Any Other Ethnic Background","ONS 2021 19+1","Female","1.517684236","% of Total Age Group Population","100","% of Total Ethnic Group Population","461680","30420030"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","All","Any Other Ethnic Background","ONS 2021 19+1","Male","1.583679468","% of Total Age Group Population","100","% of Total Ethnic Group Population","462070","29176990"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","All","All","All","100","% of Total Age Group Population","62.92761786","% of Total Ethnic Group Population","37502985","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","All","All","Female","100","% of Total Age Group Population","62.59794944","% of Total Ethnic Group Population","19042315","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","All","All","Male","100","% of Total Age Group Population","63.27133128","% of Total Ethnic Group Population","18460670","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Asian","ONS 2021 5+1","All","10.09874281","% of Total Age Group Population","68.66939483","% of Total Ethnic Group Population","3787330","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Asian","ONS 2021 5+1","Female","10.18975371","% of Total Age Group Population","69.10217898","% of Total Ethnic Group Population","1940365","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Asian","ONS 2021 5+1","Male","10.0048644","% of Total Age Group Population","68.22052601","% of Total Ethnic Group Population","1846965","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Bangladeshi","ONS 2021 19+1","All","1.142215746","% of Total Age Group Population","66.42965697","% of Total Ethnic Group Population","428365","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Bangladeshi","ONS 2021 19+1","Female","1.113940191","% of Total Age Group Population","65.96796766","% of Total Ethnic Group Population","212120","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Bangladeshi","ONS 2021 19+1","Male","1.171382187","% of Total Age Group Population","66.88886139","% of Total Ethnic Group Population","216245","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Chinese","ONS 2021 19+1","All","0.913140647","% of Total Age Group Population","76.85342071","% of Total Ethnic Group Population","342455","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Chinese","ONS 2021 19+1","Female","1.009698663","% of Total Age Group Population","78.19827148","% of Total Ethnic Group Population","192270","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Chinese","ONS 2021 19+1","Male","0.813540354","% of Total Age Group Population","75.19777689","% of Total Ethnic Group Population","150185","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Indian","ONS 2021 19+1","All","3.449818728","% of Total Age Group Population","69.39901409","% of Total Ethnic Group Population","1293785","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Indian","ONS 2021 19+1","Female","3.394151394","% of Total Age Group Population","69.27162042","% of Total Ethnic Group Population","646325","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Indian","ONS 2021 19+1","Male","3.507239986","% of Total Age Group Population","69.52665264","% of Total Ethnic Group Population","647460","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Pakistani","ONS 2021 19+1","All","2.732115857","% of Total Age Group Population","64.5302994","% of Total Ethnic Group Population","1024625","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Pakistani","ONS 2021 19+1","Female","2.688827488","% of Total Age Group Population","64.77717684","% of Total Ethnic Group Population","512015","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Pakistani","ONS 2021 19+1","Male","2.776768124","% of Total Age Group Population","64.28557992","% of Total Ethnic Group Population","512610","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Asian Background","ONS 2021 19+1","All","1.861451828","% of Total Age Group Population","71.76303089","% of Total Ethnic Group Population","698100","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Asian Background","ONS 2021 19+1","Female","1.983135979","% of Total Age Group Population","73.03151319","% of Total Ethnic Group Population","377635","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Asian Background","ONS 2021 19+1","Male","1.735933745","% of Total Age Group Population","70.32367786","% of Total Ethnic Group Population","320465","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Black","ONS 2021 5+1","All","4.418941586","% of Total Age Group Population","68.7873436","% of Total Ethnic Group Population","1657235","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Black","ONS 2021 5+1","Female","4.627903698","% of Total Age Group Population","69.57270018","% of Total Ethnic Group Population","881260","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Black","ONS 2021 5+1","Male","4.203395651","% of Total Age Group Population","67.91665937","% of Total Ethnic Group Population","775975","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Black African","ONS 2021 19+1","All","2.795204168","% of Total Age Group Population","70.43364039","% of Total Ethnic Group Population","1048285","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Black African","ONS 2021 19+1","Female","2.929554521","% of Total Age Group Population","71.52674937","% of Total Ethnic Group Population","557855","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Black African","ONS 2021 19+1","Male","2.656620805","% of Total Age Group Population","69.23017201","% of Total Ethnic Group Population","490430","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Black Caribbean","ONS 2021 19+1","All","1.195064873","% of Total Age Group Population","71.92595327","% of Total Ethnic Group Population","448185","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Black Caribbean","ONS 2021 19+1","Female","1.271247745","% of Total Age Group Population","71.8110353","% of Total Ethnic Group Population","242075","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Black Caribbean","ONS 2021 19+1","Male","1.116481688","% of Total Age Group Population","72.06139431","% of Total Ethnic Group Population","206110","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Black Background","ONS 2021 19+1","All","0.428672544","% of Total Age Group Population","53.99056303","% of Total Ethnic Group Population","160765","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Black Background","ONS 2021 19+1","Female","0.427101432","% of Total Age Group Population","54.34680922","% of Total Ethnic Group Population","81330","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Black Background","ONS 2021 19+1","Male","0.430293158","% of Total Age Group Population","53.63062485","% of Total Ethnic Group Population","79435","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed","ONS 2021 5+1","All","2.454244642","% of Total Age Group Population","53.57963029","% of Total Ethnic Group Population","920415","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed","ONS 2021 5+1","Female","2.52960315","% of Total Age Group Population","54.98738599","% of Total Ethnic Group Population","481695","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed","ONS 2021 5+1","Male","2.376511795","% of Total Age Group Population","52.11472557","% of Total Ethnic Group Population","438720","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Asian","ONS 2021 19+1","All","0.640202373","% of Total Age Group Population","49.17963949","% of Total Ethnic Group Population","240095","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Asian","ONS 2021 19+1","Female","0.647689107","% of Total Age Group Population","50.31822447","% of Total Ethnic Group Population","123335","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Asian","ONS 2021 19+1","Male","0.632479753","% of Total Age Group Population","48.03159324","% of Total Ethnic Group Population","116760","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Black African","ONS 2021 19+1","All","0.32566741","% of Total Age Group Population","48.93621284","% of Total Ethnic Group Population","122135","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Black African","ONS 2021 19+1","Female","0.334439379","% of Total Age Group Population","50.16541946","% of Total Ethnic Group Population","63685","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Black African","ONS 2021 19+1","Male","0.316619061","% of Total Age Group Population","47.66370382","% of Total Ethnic Group Population","58450","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Black Caribbean","ONS 2021 19+1","All","0.775844909","% of Total Age Group Population","56.7166652","% of Total Ethnic Group Population","290965","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Black Caribbean","ONS 2021 19+1","Female","0.796961924","% of Total Age Group Population","58.07439155","% of Total Ethnic Group Population","151760","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Mixed White and Black Caribbean","ONS 2021 19+1","Male","0.754062556","% of Total Age Group Population","55.30701842","% of Total Ethnic Group Population","139205","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","All","0.712529949","% of Total Age Group Population","57.214431","% of Total Ethnic Group Population","267220","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Female","0.75051274","% of Total Age Group Population","58.90244405","% of Total Ethnic Group Population","142915","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Male","0.673350426","% of Total Age Group Population","55.38944836","% of Total Ethnic Group Population","124305","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","White","ONS 2021 5+1","All","80.68187106","% of Total Age Group Population","62.13278458","% of Total Ethnic Group Population","30258110","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","White","ONS 2021 5+1","Female","80.38121941","% of Total Age Group Population","61.5907421","% of Total Ethnic Group Population","15306445","19042315"
